time,ax,ay,az,atotal
6.348,0.08,-0.01,-0.09,0.12
6.358,0.09,-0.04,-0.11,0.14
6.368,0.10,-0.06,-0.12,0.17
6.379,0.11,-0.07,-0.12,0.18
6.388,0.10,-0.03,-0.13,0.17
6.398,0.06,-0.00,-0.10,0.12
6.409,0.04,0.02,-0.06,0.08
6.419,0.04,0.00,-0.02,0.05
6.429,0.07,-0.02,0.02,0.08
6.439,0.12,-0.05,0.03,0.14
6.449,0.16,-0.09,0.01,0.18
6.459,0.17,-0.09,-0.03,0.20
6.469,0.18,-0.08,-0.07,0.22
6.479,0.16,-0.07,-0.08,0.20
6.489,0.12,-0.03,-0.08,0.15
6.499,0.07,0.01,-0.06,0.09
